nombre,poblacion,superficie,continente
Argentina,46350000,2780400.0,América
Bolivia,12220000,1098581.0,América
Brasil,216400000,8515767.0,América
Canadá,39800000,9976140.0,América
Chile,19900000,756102.0,América
Colombia,52200000,1141748.0,América
Costa Rica,5310000,51100.0,América
Cuba,11170000,109884.0,América
Ecuador,18000000,283561.0,América
El Salvador,6640000,21041.0,América
Estados Unidos,342000000,9833517.0,América
Guatemala,18300000,108889.0,América
Haití,11900000,27750.0,América
Honduras,10400000,112492.0,América
Jamaica,2900000,10991.0,América
México,130000000,1964375.0,América
Nicaragua,7040000,130373.0,América
Panamá,4600000,75417.0,América
Paraguay,7300000,406752.0,América
Perú,340000000,123456758.0,América
República Dominicana,11200000,48671.0,América
Uruguay,3400000,176215.0,América
Venezuela,29000000,916445.0,América
Alemania,84600000,357588.0,Europa
Albania,2820000,28748.0,Europa
Andorra,81000,468.0,Europa
Armenia,2790000,29743.0,Europa
Austria,9030000,83879.0,Europa
Azerbaiyán,10400000,86600.0,Europa
Bélgica,11700000,30528.0,Europa
Bielorrusia,9300000,207600.0,Europa
Bosnia y Herzegovina,3210000,51197.0,Europa
Bulgaria,6370000,110879.0,Europa
Chipre,1280000,9251.0,Europa
Croacia,3850000,56594.0,Europa
Dinamarca,5930000,42933.0,Europa
Eslovaquia,5470000,49035.0,Europa
Eslovenia,2110000,20273.0,Europa
España,48500000,505990.0,Europa
Estonia,1320000,45227.0,Europa
Finlandia,5610000,338145.0,Europa
Francia,65100000,551695.0,Europa
Georgia,3710000,69700.0,Europa
Grecia,10400000,131957.0,Europa
Hungría,9580000,93030.0,Europa
Irlanda,5200000,70273.0,Europa
Islandia,390000,103000.0,Europa
Italia,58900000,301340.0,Europa
Kazajistán,20000000,2724900.0,Europa
Kosovo,1870000,10887.0,Europa
Letonia,1820000,64589.0,Europa
Liechtenstein,40000,160.0,Europa
Lituania,2820000,65300.0,Europa
Luxemburgo,670000,2586.0,Europa
Malta,542000,316.0,Europa
Moldavia,2660000,33846.0,Europa
Mónaco,38000,2.0,Europa
Montenegro,620000,13812.0,Europa
Noruega,5450000,385207.0,Europa
Países Bajos,17700000,41543.0,Europa
Polonia,38500000,312685.0,Europa
Portugal,10500000,92226.0,Europa
Reino Unido,68800000,243610.0,Europa
República Checa,10700000,78866.0,Europa
Rumania,19000000,238397.0,Europa
Rusia,146000000,17098242.0,Europa
San Marino,34000,61.0,Europa
Serbia,6600000,77474.0,Europa
Suecia,10600000,450295.0,Europa
Suiza,8800000,41284.0,Europa
Turquía,86600000,783562.0,Europa
Ucrania,37600000,603550.0,Europa
Vaticano,800,0.44,Europa
Afganistán,42400000,652230.0,Asia
